iter	Passed	Remaining
0	58	58040
1	58	29203
2	58	19571
3	59	14777
4	59	11890
5	60	9966
6	60	8602
7	61	7575
8	61	6775
9	61	6130
10	62	5600
11	62	5167
12	63	4799
13	63	4480
14	64	4206
15	64	3962
16	64	3748
17	65	3556
18	65	3385
19	65	3230
20	66	3090
21	66	2967
22	67	2851
23	67	2746
24	67	2648
25	68	2558
26	68	2474
27	69	2396
28	69	2323
29	69	2255
30	70	2192
31	70	2132
32	70	2075
33	71	2023
34	71	1975
35	72	1928
36	72	1884
37	72	1841
38	73	1800
39	73	1762
40	73	1726
41	74	1691
42	74	1658
43	74	1626
44	75	1595
45	75	1567
46	75	1540
47	76	1513
48	76	1487
49	77	1463
50	77	1440
51	77	1418
52	78	1397
53	78	1376
54	78	1356
55	79	1336
56	79	1318
57	80	1300
58	80	1282
59	80	1265
60	81	1248
61	81	1232
62	81	1216
63	82	1202
64	82	1187
65	82	1173
66	83	1160
67	83	1143
68	83	1130
69	84	1117
70	84	1105
71	84	1094
72	85	1083
73	85	1072
74	86	1062
75	86	1051
76	86	1040
77	87	1031
78	87	1022
79	88	1013
80	88	1003
81	88	995
82	89	986
83	89	978
84	89	967
85	90	959
86	90	949
87	90	941
88	91	934
89	91	926
90	92	919
91	92	911
92	92	904
93	93	897
94	93	890
95	93	883
96	94	877
97	94	870
98	94	864
99	95	857
100	95	851
101	95	843
102	96	837
103	96	831
104	96	825
105	97	819
106	97	815
107	98	809
108	98	804
109	98	799
110	99	794
111	99	789
112	99	784
113	100	778
114	100	774
115	100	769
116	101	764
117	101	759
118	101	754
119	102	749
120	102	745
121	103	741
122	103	735
123	103	731
124	103	726
125	104	722
126	104	718
127	104	713
128	105	709
129	105	705
130	105	701
131	106	698
132	106	694
133	106	691
134	107	687
135	107	684
136	108	680
137	108	677
138	108	673
139	109	670
140	109	666
141	109	664
142	110	660
143	110	657
144	111	654
145	111	651
146	111	648
147	112	645
148	112	642
149	112	639
150	113	636
151	113	633
152	113	630
153	114	627
154	114	624
155	115	622
156	115	620
157	115	617
158	116	614
159	116	612
160	116	609
161	117	606
162	117	604
163	118	602
164	118	599
165	118	597
166	119	595
167	119	592
168	120	590
169	120	588
170	120	585
171	121	583
172	121	580
173	121	578
174	122	576
175	122	573
