iter	Passed	Remaining
0	71	71807
1	72	36248
2	73	24314
3	74	18511
4	74	14887
5	75	12514
6	76	10793
7	76	9500
8	77	8486
9	77	7675
10	78	7019
11	78	6480
12	79	6017
13	80	5646
14	80	5298
15	81	4987
16	81	4713
17	81	4467
18	82	4247
19	82	4052
20	83	3876
21	83	3716
22	84	3570
23	84	3436
24	85	3318
25	85	3213
26	87	3136
27	88	3061
28	88	2974
29	89	2893
30	89	2809
31	90	2730
32	90	2656
33	91	2589
34	91	2524
35	91	2463
36	92	2405
37	92	2349
38	93	2297
39	93	2247
40	94	2199
41	94	2153
42	94	2110
43	95	2075
44	95	2035
45	96	1998
46	96	1964
47	97	1928
48	97	1895
49	98	1863
50	98	1831
51	98	1801
52	99	1773
53	99	1747
54	100	1721
55	100	1695
56	100	1670
57	101	1646
58	101	1622
59	102	1599
60	102	1578
61	102	1556
62	103	1535
63	103	1515
64	104	1496
65	104	1477
66	104	1459
67	105	1441
68	105	1423
69	105	1406
70	106	1389
71	106	1373
72	106	1357
73	107	1342
74	107	1327
75	108	1314
76	108	1300
77	108	1286
78	109	1274
79	109	1261
80	110	1248
81	110	1235
82	110	1221
83	110	1209
84	111	1197
85	111	1185
86	111	1174
87	112	1163
88	112	1153
89	113	1142
90	113	1132
91	113	1122
92	114	1112
93	114	1104
94	115	1096
95	115	1089
96	116	1079
97	116	1071
98	116	1063
99	117	1055
100	117	1046
101	117	1038
102	118	1031
103	118	1023
104	119	1016
105	119	1008
106	119	1001
107	120	993
108	120	985
109	121	979
110	121	973
111	121	966
112	122	960
113	122	953
114	123	946
115	123	940
116	123	933
117	124	927
118	124	921
119	124	915
120	125	909
121	125	902
122	125	896
123	126	891
124	126	885
125	126	880
126	127	873
127	127	868
128	127	863
129	128	858
130	128	853
131	129	849
132	130	849
133	130	844
134	131	840
135	131	836
136	132	832
137	132	828
138	133	825
139	133	821
140	134	817
141	134	811
142	134	807
143	135	802
144	135	798
145	135	794
146	136	790
147	136	786
148	136	781
149	137	777
150	137	774
151	138	770
152	138	766
153	138	762
154	139	759
155	139	755
156	140	752
157	140	748
158	140	744
159	141	741
160	141	736
161	141	732
162	142	729
